#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
58,Slovenia,"1,355,458",+53,"7,100                                ",,"1,347,328",+69,"1,030",N/A,"652,279","3,417","2,847,701","1,370,382","2,078,034 ",Europe,,22931,26,,496,
59,Bulgaria,"1,336,076",+334,"38,701                                ",+5,"1,290,522",+74,"6,853",27,"195,202","5,654","11,545,940","1,686,869","6,844,597 ",Europe,,51771,49,0.7,"1,001",
60,Croatia,"1,285,460",,"18,518                                ",,"1,258,432",,"8,510",,"316,671","4,562","5,660,084","1,394,355","4,059,286 ",Europe,,32191,,,"2,096",
61,Guatemala,"1,281,585",,"20,272                                ",,"1,260,536",,777,5,"68,962","1,091","7,593,848","408,622","18,584,039 ",North America,,159172,,,42,
62,Morocco,"1,278,269",,"16,300                                ",,N/A,N/A,N/A,N/A,"33,841",432,"13,001,033","344,191","37,772,756 ",Africa,,"302,3173",,,154,
63,Lebanon,"1,243,838",,"10,952                                ",,"1,087,587",,"145,299",74,"186,068","1,638","4,795,578","717,380","6,684,849 ",Asia,,56101,,,"21,736",
64,Costa Rica,"1,238,883",,"9,428                                ",,N/A,N/A,N/A,N/A,"239,058","1,819","4,659,757","899,158","5,182,354 ",North America,,45501,,,"71,154",
65,Bolivia,"1,211,716",,"22,407                                ",,"1,177,145",,"12,164",220,"101,038","1,868","2,710,261","225,993","11,992,656 ",South America,,105354,,,"1,014",
66,Tunisia,"1,153,361",,"29,423                                ",,N/A,N/A,N/A,N/A,"95,741","2,442","5,013,383","416,164","12,046,656 ",Africa,,104092,,,"1,157",
67,Cuba,"1,115,183",,"8,530                                ",,"1,106,584",,69,,"98,639",754,"14,396,176","1,273,361","11,305,652 ",North America,,"101,3251",,,6,
68,Ecuador,"1,070,121",,"36,043                                ",,"1,034,078",,0,,"59,079","1,990","3,082,403","170,173","18,113,361 ",South America,,175036,,,,
69,UAE,"1,067,030",,"2,349                                ",,N/A,N/A,N/A,,"105,837",233,"200,732,262","19,910,389","10,081,785 ",Asia,,"94,2920",,,"1,007",
70,Panama,"1,049,089",,"8,666                                ",,"1,040,268",,155,16,"235,911","1,949","7,811,039","1,756,488","4,446,964 ",North America,,45131,,,35,
71,Uruguay,"1,041,111",,"7,664                                ",,"1,030,944",,"2,503",18,"297,799","2,192","6,114,822","1,749,083","3,496,016 ",South America,,34561,,,716,
72,Mongolia,"1,011,420",,"2,284                                ",,"1,009,123",+19,13,N/A,"299,407",676,"4,030,048","1,193,000","3,378,078 ",Asia,,"31,4791",,,4,
73,Nepal,"1,003,450",,"12,031                                ",,"991,322",,97,,"33,199",398,"6,047,766","200,088","30,225,582 ",Asia,,"302,5125",,,3,
74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,,"91,3251",,,141,
75,Latvia,"981,106",,"6,523                                ",,"971,406",,"3,177",,"530,661","3,528","7,885,792","4,265,272","1,848,837 ",Europe,,22830,,,"1,718",
76,Saudi Arabia,"841,469",,"9,646                                ",,N/A,N/A,N/A,,"23,475",269,"45,481,735","1,268,848","35,844,909 ",Asia,,"433,7161",,,109,
77,Azerbaijan,"834,305",,"10,379                                ",,"823,872",,54,,"80,999","1,008","7,733,717","750,831","10,300,205 ",Asia,,129921,,,5,
